word,occurences
legendary,250
pendleton,9
roundup,3
rodeo,38
squash,31
pierced,14
horn,135
senator,458
thomas,652
hart,63
bentons,2
soninlaw,35
pathfinder,19
nilometer,1
leda,10
laid,136
eggs,258
pollux,12
clytemnestra,6
formerly,193
hospital,242
dr,598
peter,553
burns,131
fox,245
tanglewood,4
music,1134
summer,436
lenox,6
remained,53
sedate,2
nazi,86
dictator,99
dined,9
alone,174
blondi,2
alsatian,8
isthmus,36
north,1462
irises,7
roses,95
sunflowers,6
9700,2
tax,141
preparation,30
offices,28
worldwide,77
historians,32
pericles,14
150th,16
lincolns,56
addressed,49
session,47
congress,504
1964,448
lifted,27
beagles,8
ears,83
lawn,73
provoking,8
protest,78
humid,2
rio,130
janeiro,16
tropic,32
drip,23
artist,622
cody,20
wyoming,93
firm,160
selectric,2
typewriter,22
spherical,13
typing,14
1814,78
treaty,287
kiel,4
norway,107
sweden,102
greenland,54
1842,59
repeatedly,22
revised,30
idylls,11
colo,10
apes,44
captivity,28
1956,322
zoo,155
river,2079
revered,13
jews,79
christians,33
alike,25
spent,319
pointillist,8
seascapes,7
including,881
le,211
bec,3
du,142
hoc,6
grandcamp,1
1934,222
plugged,10
bulova,3
lone,63
eagle,144
watches,57
attacked,114
fleet,118
port,448
arthur,304
179495,1
acting,190
supervisor,11
dumfries,4
1945,316
scottie,8
injured,37
fight,304
blaze,15
elliott,33
roosevelts,21
mastiff,3
livingstone,23
botswanas,8
ngami,3
desert,385
sculpture,106
bronze,116
exhibited,40
inspired,675
michelangelo,51
philip,206
morris,54
cincinnatibased,2
yearly,39
expenditures,4
exceeding,10
billion,282
colonel,90
ojukwu,2
declared,260
biafras,1
independence,401
starting,178
civil,530
fly,314
buzz,51
chapter,227
seven,161
gables,25
favorite,501
horse,544
alexander,285
wore,260
horns,57
battle,902
yangon,5
asia,230
sculptors,15
reclining,15
mother,701
walker,75
minneapolis,37
1811,47
german,1067
steelmaking,9
business,429
constructing,2
essen,2
midst,15
korean,85
elected,482
terms,176
plain,150
hampshire,109
farmer,79
1895,113
invention,126
repairs,19
intl,65
space,600
parazynski,1
needlenose,1
pair,420
september,428
45th,3
comedians,26
telethon,7
mache,2
container,101
spanish,905
jug,13
want,681
candy,267
gifts,52
1997,856
reps,8
voted,126
reprimand,4
marked,130
reprimanded,4
speaker,102
give,700
letter,881
stately,46
majestic,22
reports,1235
rvmh,3
hall,801
elkhart,8
ina,6
gmc,3
motorhome,1
60s,346
innovation,23
helps,204
traction,7
weight,184
target_blankwheelsa,1
operation,136
soviet,296
released,283
mostly,111
trash,35
originally,640
hour,219
soap,145
started,405
nurse,89
jessie,9
brewer,22
doors,104
righthanded,4
batter,42
does,510
field,549
simon,182
paul,656
proverbially,117
break,226
food,847
someones,68
earn,95
dough,66
behind,348
wheel,144
target_blankvery,1
motor,104
homea,6
theyve,54
400000,26
spacewalker,1
outside,294
gemini,28
mustve,17
later,1370
moonwalker,4
1948,293
douglas,158
edwards,60
anchor,82
networks,34
evening,148
aaron,94
fechter,1
invented,537
carnival,46
mammal,242
mallet,10
poet,738
leader,1024
literary,216
movement,379
1950s,254
shell,188
composed,254
chiefly,27
calcium,46
carbonate,21
received,345
target_blankfancy,1
trailera,1
perk,6
1931,158
paramount,20
target_blankchevy,6
